Machine Name,Device Name,Description,Device Type,Connected,Safe To Unplug,Disabled,USB Hub,Drive Letter,Serial Number,Created Date,Last Plug/Unplug Date,VendorID,ProductID,Firmware Revision,USB Class,USB SubClass,USB Protocol,Hub / Port,Computer Name,Vendor Name,Product Name,ParentId Prefix,Service Name,Service Description,Driver Filename,Device Class,Device Mfg,Power,USB Version,Driver Description,Driver Version,Instance ID
PEPWUD25194,,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,2/15/2011 5:04:33 PM,9/14/2011 10:19:13 AM,04b4,101,0.01,3,1,2,,,Cypress Semiconductor Corp.,Keyboard/Hub,8&54ed386&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_04b4&Pid_0101&MI_01\7&14ddccf2&0&0001
PEPWUD25194,,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,2/15/2011 5:04:33 PM,9/14/2011 10:19:13 AM,04b4,101,0.01,3,1,1,,,Cypress Semiconductor Corp.,Keyboard/Hub,8&29261148&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_04b4&Pid_0101&MI_00\7&14ddccf2&0&0000
PEPWUD25194,CS62USV1.0.071,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,9/14/2011 10:21:43 AM,7/3/2016 9:33:56 PM,557,2213,1,3,1,2,,,"ATEN International Co., Ltd",CS682 2-Port USB 2.0 DVI KVM Switch,8&1a1d8be6&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),100 mA,1.1,USB Human Interface Device,5.1.2600.5512,USB\Vid_0557&Pid_2213&MI_01\7&330ef691&0&0001
PEPWUD25194,CS62USV1.0.071,USB Composite Device,Unknown,Yes,Yes,No,No,,,9/14/2011 10:21:38 AM,7/3/2016 9:33:50 PM,557,2213,1,0,0,0,"Hub 3, Port 1",,"ATEN International Co., Ltd",CS682 2-Port USB 2.0 DVI KVM Switch,7&330ef691&0,usbccgp,Microsoft USB Generic Parent Driver,usbccgp.sys,USB,(Standard USB Host Controller),100 mA,1.1,USB Composite Device,5.1.2600.0,USB\Vid_0557&Pid_2213\6&2eb0ea04&0&1
PEPWUD25194,DataTraveler 2.0,Kingston DataTraveler 2.0 USB Device,Mass Storage,No,No,No,No,,0014780EC5FFC8C1955903B9,2/9/2011 6:44:38 PM,2/9/2011 6:47:36 PM,930,6544,1,8,6,50,,,Toshiba Corp.,Kingston DataTraveler 2.0 Stick (2GB),7&1b1ee864&0,USBSTOR,USB Mass Storage Driver,USBSTOR.SYS,USB,Compatible USB storage device,,,USB Mass Storage Device,5.1.2600.0,USB\Vid_0930&Pid_6544\0014780EC5FFC8C1955903B9
PEPWUD25194,DELL USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,12/1/2010 3:21:06 PM,12/2/2010 1:57:03 AM,413c,2003,1,3,0,0,,,Dell Computer Corp.,Keyboard,7&c952f67&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_2003&MI_01\6&28181e60&0&0001
PEPWUD25194,Dell USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,1/10/2011 9:18:09 AM,2/2/2011 5:37:46 PM,413c,2105,3.5,3,1,1,"Hub 2, Port 1",,Dell Computer Corp.,Model L100 Keyboard,6&844e7d2&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_2105\5&2d7e750b&0&1
PEPWUD25194,Dell USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,12/20/2010 5:21:17 PM,12/29/2010 3:17:34 PM,413c,2105,3.5,3,1,1,"Hub 2, Port 2",,Dell Computer Corp.,Model L100 Keyboard,6&1afe9877&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_2105\5&2d7e750b&0&2
PEPWUD25194,DELL USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,12/1/2010 3:21:06 PM,12/2/2010 1:57:03 AM,413c,2003,1,3,1,1,,,Dell Computer Corp.,Keyboard,7&2458bbac&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_2003&MI_00\6&28181e60&0&0000
PEPWUD25194,DELL USB Keyboard,USB Composite Device,Unknown,No,Yes,No,No,,,12/1/2010 3:21:05 PM,12/2/2010 1:57:03 AM,413c,2003,1,0,0,0,"Hub 0, Port 1",,Dell Computer Corp.,Keyboard,6&28181e60&0,usbccgp,Microsoft USB Generic Parent Driver,usbccgp.sys,USB,(Standard USB Host Controller),,,USB Composite Device,5.1.2600.0,USB\Vid_413c&Pid_2003\5&2d64abf2&0&1
